rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
4.997556778870325536e+06 2.284862653518800357e+01 5.001959882727444336e+12 3.931863425691867892e-02 4.944218633263703850e+02 3.722424989196881029e+00
4.877105868562696502e+06 2.276155941793198068e+01 5.029654955717041992e+12 3.919627187376724387e-02 4.971838468740068606e+02 3.739658944793928352e+00
4.981596487012570724e+06 2.199918073644622751e+01 5.103415808707631836e+12 3.937156370100483582e-02 4.989225369197502573e+02 3.866997300152013928e+00
4.919524309143176302e+06 2.171779453367909696e+01 5.150821764309858398e+12 3.929791630849103351e-02 4.986260148351773864e+02 3.936444148032583357e+00
4.964571818419201300e+06 2.226099833991833776e+01 5.157779329522621094e+12 3.838946891793676430e-02 4.999696389554346752e+02 3.940990178668859922e+00
4.946068886951034889e+06 2.282858300491017900e+01 5.086935586821296875e+12 3.892771417594678013e-02 4.995790614971779178e+02 3.737459626374938004e+00
4.849842842265057378e+06 2.240807602494640705e+01 5.059182229626892578e+12 3.966779674388733884e-02 4.993092158318317502e+02 3.706408751384794975e+00
4.879758998941414058e+06 2.288346599974456907e+01 5.371084567547007812e+12 3.836235655152592239e-02 4.947370446108341753e+02 3.741081478516954384e+00
4.937523322194669396e+06 2.211360885298756429e+01 5.040533779731813477e+12 3.974675482167189244e-02 4.994508161755532001e+02 3.888257152558079799e+00
4.984531611483867280e+06 2.273443175320204546e+01 5.004123366627377930e+12 3.902386065017937611e-02 4.996260267025668895e+02 3.669975594913007289e+00
4.973597273690488189e+06 2.258604555446631679e+01 5.348572698989166992e+12 3.834368010824826950e-02 4.997408958350497414e+02 3.780898482091300306e+00
4.760792220636332408e+06 2.232004623935877419e+01 5.004206654462431641e+12 3.962148265827954846e-02 4.998585557916578068e+02 3.808962164317071686e+00
4.932418466733122244e+06 2.321056732427015845e+01 5.161129909529011719e+12 3.851527797141434534e-02 4.993975585491333504e+02 3.615384637644821098e+00
4.970752048852122389e+06 2.229616026664036355e+01 5.026898407888160156e+12 3.918813831373382101e-02 4.992661064435521325e+02 3.885539846136600417e+00
4.951621751320481300e+06 2.264251746122085507e+01 5.213641679794250977e+12 3.814054949572638631e-02 4.996594145609118982e+02 3.735316308382796269e+00
4.936755002435458824e+06 2.272201388415212264e+01 5.122238208002156250e+12 3.922885386499334881e-02 4.987327088279031955e+02 3.716184153969235293e+00
4.943088452437177300e+06 2.325249839088255754e+01 5.018342277465058594e+12 3.873887800430601824e-02 4.978870809404617148e+02 3.778670433202091061e+00
4.946246153742941096e+06 2.197275851306442718e+01 5.254898868868641602e+12 3.884199223979490495e-02 4.990256100820514007e+02 3.898650817209738495e+00
4.952732984679069370e+06 2.244823202210551472e+01 5.108060705760508789e+12 3.930322280593028655e-02 4.989368847579630142e+02 3.700803532243995608e+00
4.948746855472669005e+06 2.314169929046866159e+01 5.159507467847506836e+12 3.899273696615476043e-02 4.999714438097196876e+02 3.682386187544568035e+00
